query,clicks,impressions,ctr,position
失業手当 自己都合,0,3,0,46.667
失業手当 計算 シュミレーション,0,1,0,69
失業手当65歳以上,0,1,0,86
失業手当シミュレーション,0,1,0,68
失業給付金,0,1,0,1
定年 65歳 誕生日,0,1,0,3
定年とは何歳,0,1,0,3
定年後の補助金,0,1,0,1
定年退職,0,10,0,3
定年退職とは,0,1,0,3
日本生命 退職,0,1,0,4
日雇い,0,1,0,3
正当な理由のある自己都合退職,0,3,0,3
無職になった 国民健康保険,0,1,0,1
特定受給資格者及び特定理由離職者の範囲と判断基準,0,1,0,3
特定理由離職者 腰痛,0,5,0,9.4
特定理由離職者 診断書 いらない,0,1,0,46
特定理由離職者と判定 され る には,0,1,0,1
社会保険と国民 保険どっちが安い 退職後,0,1,0,1
社会保険給付金サポート 怪しい,0,4,0,41.25
給付制限期間 アルバイト 4時間以上,0,1,0,1
給付金 計算,0,2,0,39
職業訓練,0,1,0,3
自己 都合 退職 失業 手当,0,1,0,98
自己都合 失業保険 いつから,0,1,0,1
自己都合 退職 待機期間,0,1,0,1
自己都合退職 失業手当,0,1,0,48
自己都合退職 失業手当 いつから,0,1,0,1
退職前給付金 詐欺,0,1,0,38
退職後 任意継続 国民健康保険 どっちが得,0,2,0,1
退職後 任意継続 国民健康保険どっちが得,0,1,0,1
退職後 健康保険 任意継続 国民健康保険 扶養 厚生労働省,0,1,0,11
退職後 国民健康保険料計算 シュミレーション,0,1,0,1
退職済,0,1,0,2
退職給付金 シュミレーター,0,1,0,11
退職給付金 広告 詐欺,0,1,0,16
退職給付金 診断 詐欺,0,2,0,4
退職給付金 詐欺 注意,0,1,0,9
退職給付金シュミレーター,0,1,0,11
退職給付金診断 詐欺,0,1,0,4
退職給付金詐欺,0,1,0,20
退職金 60歳 65歳,0,1,0,3
雇用保険 失業給付 待期 7日 働いたら やり直し,0,4,0,10.75
離職理由 異議申し立て 結果,0,1,0,7
離職理由33,0,1,0,1
離職理由コード,0,1,0,21
離職票,0,1,0,1
高 年齢 求職 者 給付 金,0,8,0,79.5
高 年齢 求職 者 給付 金 計算,0,2,0,80
高年齢 求職者 給付金,0,1,0,80
高年齢求職者給付金,0,3,0,59
高年齢求職者給付金 65歳以上 支給日数 30日 50日,0,1,0,10
高年齢求職者給付金 65歳以上 退職日 誕生日 前日 年齢計算,0,1,0,9
高年齢求職者給付金 70歳以上 いくらもらえる,0,1,0,1
高年齢求職者給付金 と年金,0,1,0,77
高年齢求職者給付金 上限額,0,2,0,61
高年齢求職者給付金 基本手当日額 上限 65歳以上 2025,0,5,0,7.2
高年齢求職者給付金 支給 日,0,1,0,54
高年齢求職者給付金 日額,0,1,0,77
高年齢求職者給付金 求職活動 回数,0,1,0,48
高年齢求職者給付金 給付制限,0,2,0,62.5
高年齢求職者給付金 自己都合,0,1,0,68
高年齢求職者給付金 計算,0,3,0,78.333
高年齢求職者給付金とは,0,1,0,79
高年齢求職者給付金をもらうには,0,1,0,3
高年齢雇用継続給付金 計算ツール,0,1,0,59
高齢 求職 者,0,1,0,69
高齢 者 失業給付金 計算,0,1,0,57
高齢 者 求職 者 給付 金,0,1,0,92
高齢求職者給付金,0,1,0,76
ﾊﾞｲﾄ 失業保険,0,3,0,63.667
